Open,High,Low,Close,Volume_sum,ret_1q,vol_4q,max_drawdown_4q,ma4_ratio
12850,14900,11300,13500,6528058,0.0505836575875486,0.1818650294201589,-0.2011834319526627,-0.0816326530612244
13500,13750,11000,13250,3207336,-0.0185185185185184,0.1463130940303385,-0.2159763313609467,-0.0619469026548672
13200,14800,10300,11050,3067214,-0.1660377358490565,0.1329189751750117,-0.1814814814814814,-0.1273445212240869
11050,13150,9600,9700,1656067,-0.1221719457013574,0.0983084420326186,-0.2814814814814814,-0.183157894736842
9780,11400,9350,10150,2996419,0.0463917525773196,0.0966882926462042,-0.2339622641509433,-0.0804077010192525
10100,13920,9860,12460,4510852,0.2275862068965517,0.1792498766533985,0.0,0.1494464944649447
12480,13470,11150,12420,5631452,-0.0032102728731941,0.1453315667611784,-0.0032102728731941,0.1106639839034204
12420,15000,11080,14400,4649901,0.1594202898550725,0.1050513956346729,0.0,0.1652842403398746
14400,18080,13410,16730,5195446,0.1618055555555555,0.0982875519707604,0.0,0.1947866452419211
11350,12800,10200,10700,85798176,-0.044642857142857,0.0938506622092447,-0.044642857142857,0.0464547677261613
10700,11250,9970,10400,27922437,-0.02803738317757,0.095161699675587,-0.0714285714285714,-0.0200235571260306
10400,10750,9190,9270,20979797,-0.1086538461538461,0.0890126091039949,-0.1723214285714286,-0.1080105845561703
9220,13500,8750,13300,57659339,0.4347357065803667,0.2500178507901516,0.0,0.2182276162125029
13450,13450,9780,10850,60087271,-0.1842105263157895,0.2782569936974793,-0.1842105263157895,-0.0095846645367412
10800,12050,8440,8450,40986607,-0.2211981566820277,0.3066429787174911,-0.3646616541353383,-0.1927394315739192
8480,8900,7520,7590,23011608,-0.1017751479289941,0.3059974265450811,-0.4293233082706766,-0.2445882060213984
7750,9210,7650,8100,18248022,0.0671936758893281,0.1282412819753956,-0.2534562211981567,-0.0740211488996855
8130,8890,7560,8250,15398717,0.0185185185185186,0.1291917467170738,-0.0236686390532544,0.0188329731398579
8260,9500,7660,9160,19879576,0.1103030303030303,0.0915834170209086,0.0,0.1069486404833837
9160,9270,7780,7880,19232722,-0.1397379912663755,0.1091781549483718,-0.1397379912663755,-0.0560047918538484
7800,8880,7750,8140,11956002,0.0329949238578679,0.1048859704477895,-0.111353711790393,-0.0260245288662878
199741,322243,194822,215485,101946957,0.1526343942230543,0.2019780002820176,0.0,0.2901342761049601
223848,297152,218928,290757,61809211,0.3493143374248788,0.1499732285189989,0.0,0.4013043986404181
291741,294201,221880,260747,42266125,-0.1032133362223437,0.2191180371000843,-0.1032133362223437,0.0933487361351197
258779,265666,189902,234672,25081658,-0.1000011505405623,0.2188305663043495,-0.1928930343895417,-0.0628685752964326
238116,274029,185474,211549,33162030,-0.0985332719710915,0.2249569514725021,-0.2724199245417995,-0.1518745145205342
210073,242051,188918,188918,24263361,-0.1069775796623949,0.0037474683687604,-0.2754739268332905,-0.1565087522296363
188426,210073,140213,141197,25161008,-0.2526016578621413,0.075472117412423,-0.3983219131383377,-0.2724954143566703
145624,189902,145132,151528,25460741,0.0731672769251472,0.133252077136295,-0.2837215018742702,-0.1256217613590462
153003,191771,141688,176422,44675047,0.1642864685074705,0.1860704483950011,-0.066145099990472,0.0723682311017908
178586,205645,155267,155956,46372245,-0.1160059403022298,0.187357178152505,-0.1160059403022298,-0.0020460628088491
157924,225816,145200,148800,51974061,-0.0458847367206135,0.1244706619646397,-0.1565677749940484,-0.0592787171292827
146000,158600,120100,140300,32748273,-0.0571236559139785,0.1225658438863372,-0.2047477072020496,-0.0969913657442419
7210,9090,6720,7070,107756796,-0.0153203342618384,0.0282801019649081,-0.0153203342618384,0.0078403421240198
6940,7380,6150,6870,19284144,-0.0282885431400282,0.0324267043571978,-0.043175487465181,-0.0182207931404072
5513,5799,0,4221,18580263,-0.2187673514714048,0.1489484409671276,-0.2187673514714048,-0.1412004069175991
4238,4678,4196,4345,9093697,0.0293769248993129,0.1367335552181493,-0.1958171386266889,-0.0945087006356153
4345,4470,3520,3591,5501289,-0.1735327963176064,0.1328655241232392,-0.3353692393114936,-0.182004555808656
3585,3705,2927,3271,3815748,-0.0891116680590364,0.1090761093757721,-0.2471806674338319,-0.1519315530204822
3290,4167,2970,3968,6924699,0.213084683583002,0.1675517531573125,-0.0867663981588032,0.0459308072487643
3977,4277,2961,3086,3904624,-0.2222782258064516,0.1952718083162764,-0.2222782258064516,-0.1129634952572578
3079,3428,2550,2661,2601610,-0.1377187297472456,0.1895549215803529,-0.3293850806451612,-0.1803480671492376
2756,3075,2541,2843,2413325,0.0683953400977075,0.1974131336123318,-0.2835181451612903,-0.094441790093964
